  Number     Name    CFNHWG0001  CVODGT0002  CPXIJU0003  CETDXH0004  CGCCDR0005  CGARWR0006  CPAKQS0007  CEZNMQ0008  CVECRX0009  CHFWUG0010  CMSONV0011  CELMFZ0012  CBIIFR0013  CAOKHQ0014  CGJAPT0015  CZUTDS0016  CJAKDJ0017  CZMWTL0018  COPJOP0019  CFPHJF0020 
 20220027  FHKG0027      No          Yes         No          No          No          Yes         No          No          No          Yes         Yes         No          Yes         No          No          No          No          Yes         No          Yes    
 20220028  TCIR0028      No          Yes         No          Yes         No          No          No          No          Yes         Yes         No          No          No          No          No          Yes         No          Yes         No          No     
 20220029  HDVP0029      No          No          No          Yes         No          No          No          No          No          No          Yes         No          No          No          No          No          Yes         No          No          Yes    
 20220030  CFEC0030      No          Yes         No          No          Yes         No          No          No          No          No          No          No          No          Yes         No          Yes         No          Yes         Yes         Yes    
 20220031  DZQO0031      No          No          Yes         Yes         No          No          No          Yes         No          No          Yes         No          No          No          Yes         No          No          No          No          No     
 20220032  UOVC0032      Yes         No          No          Yes         No          Yes         No          No          No          No          Yes         Yes         No          No          No          Yes         No          Yes         No          No     
 20220033  TXYI0033      Yes         No          No          No          No          Yes         No          Yes         No          No          No          No          No          No          Yes         No          No          Yes         No          Yes    
 20220034  TAUH0034      Yes         Yes         No          No          No          Yes         No          Yes         No          No          No          Yes         Yes         No          No          No          No          No          No          No     
 20220035  KEZQ0035      No          Yes         No          No          No          No          No          Yes         No          No          No          Yes         No          No          Yes         Yes         Yes         Yes         No          No     
 20220036  MNWA0036      No          No          No          No          No          No          No          Yes         Yes         No          No          No          No          Yes         No          No          Yes         No          No          Yes    
 20220037  WECC0037      Yes         No          No          Yes         No          No          No          No          Yes         Yes         No          Yes         No          Yes         No          No          No          Yes         No          No     
 20220038  XYQO0038      No          No          Yes         No          No          No          No          No          Yes         Yes         No          Yes         No          No          Yes         No          No          No          Yes         No     
 20220039  NMAH0039      No          Yes         No          Yes         No          No          Yes         No          No          No          Yes         No          No          No          No          No          No          Yes         No          No     
 20220040  CGSN0040      No          No          No          No          No          Yes         No          No          Yes         Yes         No          No          No          No          No          No          Yes         No          No          Yes    
 20220041  BSSZ0041      No          Yes         Yes         No          No          No          No          No          No          Yes         No          No          Yes         Yes         No          No          No          Yes         No          Yes    
 20220042  UARM0042      No          No          No          No          No          No          Yes         No          Yes         Yes         No          No          No          No          Yes         No          Yes         No          No          No     
 20220043  LYVB0043      No          No          No          No          No          Yes         No          Yes         Yes         Yes         No          No          No          No          No          No          Yes         No          No          No     
 20220044  LYUF0044      No          Yes         No          No          Yes         No          No          No          No          Yes         No          Yes         No          Yes         Yes         Yes         No          No          No          No     
 20220045  MQUV0045      No          No          No          Yes         No          Yes         No          No          No          No          Yes         No          No          Yes         Yes         No          Yes         No          Yes         No     
 20220046  IEUY0046      No          Yes         No          No          No          No          Yes         Yes         No          No          Yes         No          No          No          No          No          Yes         No          No          No     
 20220047  LAJR0047      No          No          No          No          Yes         Yes         No          No          Yes         Yes         No          Yes         No          No          No          No          Yes         No          No          No     
 20220048  CFSP0048      No          No          No          No          Yes         No          No          No          No          Yes         Yes         No          No          No          Yes         No          No          No          Yes         No     
 20220049  QZQS0049      No          No          No          Yes         Yes         No          Yes         Yes         No          No          No          No          No          Yes         No          No          No          No          No          No     
 20220050  RMUJ0050      No          Yes         No          No          No          No          No          Yes         No          No          Yes         Yes         No          No          No          No          Yes         Yes         No          Yes    
 20220051  NLFJ0051      No          No          No          No          No          Yes         No          No          Yes         Yes         Yes         No          No          No          No          Yes         No          Yes         No          No     
 20220052  XSYU0052      No          No          No          No          No          Yes         No          No          Yes         Yes         Yes         No          No          Yes         No          No          No          No          Yes         No     
 20220053  QZHI0053      No          No          Yes         No          No          No          Yes         No          Yes         Yes         Yes         No          Yes         No          No          Yes         No          No          No          No     
 20220054  DPKN0054      No          Yes         No          Yes         Yes         No          Yes         No          Yes         No          No          No          No          Yes         No          No          Yes         No          No          No     
 20220055  GAVQ0055      No          Yes         No          No          No          No          Yes         Yes         No          Yes         No          No          No          No          Yes         Yes         No          Yes         No          No     
 20220056  BULK0056      Yes         Yes         Yes         No          No          No          Yes         No          No          No          Yes         No          Yes         No          No          No          No          Yes         No          No     
 20220057  FAOK0057      No          No          Yes         No          No          Yes         Yes         No          No          No          No          No          No          Yes         No          No          Yes         No          No          Yes    
 20220058  SOGO0058      No          No          Yes         No          No          No          No          Yes         No          No          No          Yes         No          No          Yes         Yes         No          No          Yes         No     
 20220059  DQSL0059      Yes         Yes         No          No          No          No          No          No          No          No          No          Yes         Yes         No          Yes         No          Yes         No          No          No     
 20220060  NKVZ0060      No          No          No          No          No          No          Yes         No          Yes         No          Yes         Yes         No          No          Yes         No          No          Yes         No          No     
 20220061  BISW0061      No          No          No          No          Yes         No          Yes         Yes         No          No          Yes         Yes         No          Yes         No          No          No          Yes         No          No     
 20220062  VWYF0062      No          No          No          No          Yes         No          Yes         No          No          No          No          Yes         No          Yes         No          No          No          No          Yes         No     
 20220063  BYNZ0063      No          No          Yes         Yes         No          No          No          No          Yes         No          No          No          No          Yes         No          No          No          Yes         No          Yes    
 20220064  VRHG0064      Yes         Yes         No          No          Yes         Yes         No          No          No          No          No          Yes         No          No          Yes         No          No          No          No          No     
 20220065  WPHQ0065      Yes         Yes         No          No          No          Yes         No          Yes         Yes         No          No          No          Yes         No          No          No          No          No          No          No     
 20220066  JSQV0066      No          No          No          No          No          No          No          No          No          Yes         Yes         Yes         No          Yes         No          No          No          Yes         No          No     
 20220067  GFES0067      No          No          No          No          No          Yes         No          No          No          No          Yes         No          Yes         No          Yes         No          Yes         No          No          No     
 20220068  XJNW0068      No          No          Yes         No          No          No          No          Yes         No          Yes         No          Yes         Yes         No          No          Yes         No          No          No          No     
 20220069  VRFV0069      Yes         No          No          Yes         No          No          No          No          No          Yes         No          Yes         No          Yes         No          Yes         No          No          No          No     
 20220070  QROM0070      No          No          No          No          Yes         Yes         No          No          No          Yes         No          No          Yes         No          No          No          No          Yes         No          No     
 20220071  ULZP0071      No          Yes         No          No          Yes         No          No          No          No          No          No          Yes         Yes         No          No          No          No          No          No          Yes    
 20220072  JFID0072      Yes         Yes         Yes         No          No          No          No          No          No          Yes         No          No          Yes         No          No          No          Yes         No          Yes         No     
 20220073  QFME0073      Yes         Yes         No          No          No          Yes         No          Yes         Yes         No          No          No          No          No          Yes         No          Yes         No          No          No     
 20220074  GKKZ0074      Yes         No          No          No          Yes         Yes         No          Yes         No          No          No          No          No          Yes         No          No          No          No          Yes         No     
 20220075  ODNM0075      No          No          No          Yes         No          Yes         No          No          Yes         No          Yes         No          No          No          No          No          No          No          No          Yes    
 20220076  TONA0076      No          No          Yes         No          No          No          No          Yes         No          No          No          Yes         No          Yes         Yes         No          No          Yes         No          No     
 20220077  WSFS0077      No          No          No          No          Yes         No          No          No          Yes         Yes         No          No          No          No          Yes         No          Yes         No          No          No     
 20220078  NKVA0078      Yes         No          No          No          No          No          No          No          No          No          No          Yes         No          No          No          Yes         Yes         No          Yes         No     
 20220079  QZPY0079      Yes         No          Yes         No          No          No          Yes         No          No          Yes         No          Yes         No          No          No          No          No          No          Yes         No     
 20220080  MMTF0080      Yes         No          No          No          No          No          No          No          No          No          Yes         No          No          Yes         No          No          Yes         No          Yes         No     
 20220081  RNGM0081      No          No          No          No          No          No          No          Yes         Yes         No          No          Yes         Yes         No          No          No          Yes         No          No          Yes    
 20220082  UFYU0082      Yes         No          No          No          No          No          No          No          No          Yes         No          No          Yes         Yes         No          No          No          Yes         No          Yes    
 20220083  PKVO0083      No          Yes         Yes         No          No          No          No          No          No          No          No          No          No          No          No          No          No          Yes         Yes         Yes    
 20220084  JLWZ0084      Yes         Yes         Yes         No          Yes         No          No          No          No          No          No          No          No          No          No          No          Yes         Yes         Yes         No     
 20220085  HNAU0085      No          No          No          No          No          No          No          Yes         Yes         Yes         No          No          Yes         No          Yes         Yes         No          No          No          No     
 20220086  PKDZ0086      No          No          No          No          No          Yes         No          No          Yes         No          Yes         No          Yes         No          No          No          No          No          Yes         Yes    
 20220087  IGGX0087      No          No          No          No          Yes         No          No          Yes         No          No          No          No          No          No          Yes         Yes         No          No          No          No     
 20220088  NEZO0088      No          No          Yes         No          Yes         Yes         No          No          No          Yes         No          No          No          No          No          No          No          No          Yes         No     
 20220089  EBSL0089      Yes         No          No          Yes         No          Yes         No          No          No          No          No          Yes         Yes         No          No          No          No          Yes         No          No     
 20220090  QWBA0090      No          No          No          No          No          No          Yes         Yes         No          No          Yes         No          Yes         No          No          No          Yes         Yes         No          Yes    
 20220091  LYOW0091      Yes         No          No          Yes         No          No          No          No          Yes         No          Yes         No          No          No          No          No          No          Yes         No          No     
 20220092  DBCD0092      No          No          Yes         No          No          No          Yes         No          No          No          No          Yes         Yes         Yes         Yes         No          No          No          No          No     
 20220093  GNGH0093      No          No          No          Yes         Yes         No          No          No          Yes         Yes         No          No          Yes         No          No          No          Yes         No          No          No     
 20220094  HYLY0094      No          No          No          No          No          Yes         No          No          Yes         Yes         No          Yes         No          Yes         No          No          Yes         No          No          No     
 20220095  SVCY0095      Yes         No          Yes         Yes         No          No          No          Yes         Yes         No          No          No          No          No          No          No          Yes         No          No          No     
 20220096  DRMA0096      No          No          No          No          No          No          No          Yes         No          No          No          No          No          No          Yes         Yes         No          Yes         Yes         No     
 20220097  QQOE0097      No          Yes         Yes         No          Yes         No          Yes         No          No          No          No          No          No          No          No          Yes         No          Yes         No          Yes    
 20220098  MQNV0098      No          Yes         No          No          No          No          No          No          No          Yes         No          No          No          Yes         No          Yes         No          No          No          Yes    
 20220099  GMTL0099      Yes         Yes         No          No          No          No          No          No          Yes         No          No          Yes         No          No          Yes         No          No          No          No          No     
 20220100  LCXN0100      No          No          No          Yes         Yes         No          Yes         No          No          No          Yes         No          Yes         No          No          Yes         No          No          No          Yes    
 20220101  LIQE0101      No          Yes         Yes         No          No          Yes         No          No          No          No          Yes         No          No          No          No          No          Yes         Yes         Yes         No     
 20220102  YWDL0102      No          Yes         Yes         Yes         No          No          Yes         No          No          No          No          No          No          Yes         No          No          No          No          No          Yes    
 20220103  LAJG0103      No          Yes         Yes         No          No          No          No          No          Yes         No          No          No          No          No          No          No          No          Yes         No          No     
 20220104  PKZA0104      No          No          No          No          No          Yes         Yes         Yes         No          No          No          No          No          No          Yes         Yes         No          No          Yes         No     
 20220105  BNXT0105      No          No          Yes         Yes         No          No          Yes         No          No          No          No          No          No          No          Yes         No          Yes         No          Yes         No     
 20220106  OOOX0106      No          Yes         No          No          No          No          No          No          Yes         No          Yes         No          No          No          No          Yes         Yes         No          No          Yes    
 20220107  WSSD0107      No          No          No          No          No          No          No          Yes         Yes         No          Yes         No          No          No          Yes         No          Yes         No          No          Yes    
 20220108  EDDV0108      No          Yes         No          No          Yes         No          Yes         No          No          Yes         No          No          No          No          No          Yes         No          No          No          Yes    
 20220109  DBYU0109      No          Yes         Yes         No          No          Yes         No          No          No          No          No          No          No          Yes         No          No          No          No          Yes         No     
 20220110  JPYB0110      No          Yes         No          No          No          No          Yes         No          Yes         No          No          No          No          Yes         Yes         No          No          Yes         No          Yes    
 20220111  PSLT0111      No          No          No          No          Yes         No          Yes         No          No          Yes         Yes         No          No          Yes         No          Yes         Yes         No          No          No     
 20220112  PXMT0112      No          No          Yes         No          No          No          No          No          Yes         No          No          Yes         Yes         No          Yes         Yes         No          No          No          Yes    
 20220113  LDCN0113      Yes         Yes         No          No          No          No          Yes         Yes         No          No          Yes         No          No          No          No          No          Yes         No          No          No     
 20220114  XYSB0114      No          Yes         No          No          No          Yes         No          No          Yes         Yes         No          No          No          No          Yes         No          No          No          Yes         No     
 20220115  TPGB0115      No          No          No          No          Yes         Yes         No          No          Yes         No          No          No          Yes         No          No          No          No          Yes         No          No     
 20220116  ZHTM0116      No          No          No          No          Yes         No          No          No          Yes         Yes         No          No          No          No          Yes         No          No          Yes         Yes         Yes    
 20220117  CMSU0117      No          No          No          No          No          Yes         No          No          Yes         No          Yes         No          No          No          Yes         Yes         Yes         No          No          No     
 20220118  QDZG0118      No          No          No          No          Yes         No          Yes         No          No          No          No          No          No          No          No          Yes         No          Yes         No          Yes    
 20220119  WPYW0119      Yes         No          No          No          No          No          No          No          No          No          Yes         No          No          No          Yes         Yes         Yes         Yes         No          No     
 20220120  TPAE0120      No          No          No          No          No          No          Yes         No          No          No          Yes         Yes         No          Yes         No          No          No          No          Yes         No     
 20220121  MGVA0121      No          No          No          No          No          No          No          Yes         No          No          No          No          Yes         No          Yes         No          Yes         Yes         No          No     
 20220122  ECVT0122      No          No          No          Yes         Yes         Yes         No          Yes         No          No          No          No          No          Yes         No          No          No          Yes         No          No     
 20220123  ZOPG0123      No          No          Yes         No          No          No          No          Yes         No          No          Yes         No          No          No          Yes         No          No          Yes         No          Yes    
 20220124  EKCC0124      Yes         No          No          No          No          Yes         Yes         Yes         No          No          No          No          No          No          No          No          No          No          No          Yes    
 20220125  TOPB0125      No          No          No          No          Yes         No          Yes         Yes         No          Yes         No          Yes         No          No          No          No          No          No          No          Yes    
 20220126  UHBU0126      No          No          No          No          Yes         No          Yes         No          No          No          Yes         Yes         No          No          No          No          Yes         Yes         No          No     
 20220127  GBWR0127      No          Yes         No          Yes         No          No          No          No          No          No          No          Yes         Yes         Yes         Yes         No          No          No          Yes         No     
 20220128  WCQP0128      No          No          No          No          Yes         Yes         No          No          No          Yes         No          Yes         No          No          No          Yes         Yes         No          No          No     
 20220129  YCFO0129      No          No          Yes         No          No          Yes         Yes         No          Yes         No          No          Yes         No          No          Yes         No          No          Yes         No          No     
 20220130  YZVW0130      Yes         No          No          No          No          Yes         No          No          No          No          No          Yes         No          No          No          No          No          Yes         Yes         No     
 20220131  GDBO0131      No          No          No          No          Yes         No          No          Yes         No          No          Yes         No          Yes         No          No          No          No          Yes         No          No     
 20220132  YXBK0132      Yes         No          No          Yes         Yes         No          No          No          No          No          Yes         No          No          No          No          Yes         No          No          No          Yes    
 20220133  KSKX0133      No          No          No          No          Yes         No          Yes         No          Yes         No          No          No          Yes         No          No          No          Yes         No          No          Yes    
 20220134  AYVP0134      No          No          No          No          No          No          No          No          Yes         Yes         No          No          Yes         No          No          No          Yes         Yes         Yes         No     
 20220135  LSFV0135      No          No          No          Yes         Yes         No          Yes         No          No          No          Yes         No          No          No          No          No          No          Yes         Yes         No     
 20220136  OEKV0136      No          No          No          No          No          Yes         Yes         No          No          Yes         No          No          Yes         No          No          No          Yes         Yes         No          Yes    
 20220137  UWEG0137      No          No          Yes         Yes         No          Yes         No          No          No          No          No          No          No          No          No          No          Yes         No          No          No     
 20220138  UCAL0138      Yes         No          Yes         Yes         Yes         Yes         No          No          No          Yes         No          No          No          No          No          No          No          No          No          No     
 20220139  CKCR0139      No          No          No          No          No          No          Yes         No          Yes         No          No          No          No          Yes         No          Yes         Yes         No          No          No     
 20220140  RQQI0140      No          No          Yes         No          Yes         No          No          No          No          No          No          Yes         Yes         Yes         No          No          No          No          Yes         Yes    
 20220141  ORNB0141      No          No          No          Yes         No          No          Yes         No          No          No          No          Yes         No          No          No          No          Yes         Yes         Yes         No     
 20220142  OOLR0142      No          No          Yes         No          Yes         No          Yes         No          Yes         Yes         Yes         No          No          Yes         No          No          No          No          No          No     
 20220143  CRFB0143      No          Yes         Yes         Yes         No          No          No          No          No          No          No          Yes         Yes         Yes         No          No          No          Yes         No          No     
 20220144  QLAY0144      Yes         No          No          No          No          Yes         Yes         No          No          No          No          No          Yes         No          Yes         Yes         No          No          No          Yes    
 20220145  WVSA0145      No          No          No          No          No          No          Yes         Yes         No          No          No          No          Yes         No          No          No          Yes         Yes         Yes         No     
 20220146  AOHU0146      No          Yes         No          Yes         No          No          No          No          No          No          No          No          No          Yes         No          No          No          No          No          No     
 20220147  HZIA0147      No          Yes         Yes         No          No          No          No          No          No          Yes         No          No          Yes         Yes         No          Yes         Yes         No          No          No     
 20220148  POIB0148      No          Yes         Yes         No          No          Yes         No          No          No          No          Yes         No          No          No          No          Yes         No          No          No          No     
 20220149  PDHK0149      No          No          No          Yes         No          Yes         No          No          Yes         No          No          Yes         No          No          No          No          Yes         No          No          No     
 20220150  FSYF0150      No          No          Yes         Yes         No          No          No          No          No          Yes         No          No          Yes         No          No          Yes         No          Yes         Yes         No     
 20220151  AEDJ0151      No          Yes         No          No          No          No          No          Yes         Yes         No          No          No          No          Yes         Yes         No          No          No          No          Yes    
 20220152  HINX0152      No          No          No          Yes         No          No          No          Yes         No          No          No          No          No          Yes         No          No          No          Yes         Yes         No     
 20220153  DIPT0153      No          Yes         No          Yes         Yes         No          No          No          No          No          No          No          Yes         No          Yes         Yes         No          No          No          No     
 20220154  ZCPL0154      No          No          Yes         No          Yes         Yes         Yes         No          Yes         No          No          No          No          No          No          Yes         No          No          No          No     
 20220155  IMOD0155      Yes         Yes         No          No          No          No          No          Yes         Yes         No          No          No          No          No          No          No          Yes         No          No          No     
 20220156  YXYH0156      No          No          No          No          Yes         No          No          No          No          Yes         No          No          No          Yes         Yes         Yes         No          Yes         Yes         No     
 20220157  DSUC0157      Yes         No          No          No          Yes         No          No          Yes         No          No          Yes         No          No          No          No          No          No          No          Yes         No     
 20220158  IRCN0158      No          No          No          No          No          No          Yes         No          No          No          No          Yes         Yes         No          Yes         No          No          No          Yes         No     
 20220159  AFXR0159      No          No          Yes         No          Yes         No          Yes         No          Yes         No          Yes         No          No          No          No          No          No          Yes         No          No     
 20220160  NGMG0160      No          No          No          No          No          Yes         Yes         Yes         Yes         No          No          No          No          No          No          No          No          No          No          Yes    
 20220161  TCVP0161      No          No          No          No          Yes         No          No          No          No          No          No          Yes         No          No          Yes         Yes         No          No          Yes         Yes    
 20220162  UIHL0162      No          No          No          No          No          No          No          Yes         No          No          No          No          Yes         No          Yes         Yes         No          No          Yes         No     
 20220163  XYKU0163      No          No          Yes         No          No          No          No          No          No          No          No          No          No          No          Yes         Yes         No          Yes         Yes         No     
 20220164  DIHO0164      No          Yes         No          No          No          Yes         No          No          No          Yes         No          No          No          No          Yes         No          Yes         No          No          Yes    
 20220165  ZVHK0165      No          Yes         Yes         No          No          Yes         No          No          Yes         No          No          No          No          No          No          No          No          No          No          Yes    
 20220166  OICL0166      No          No          No          No          Yes         No          No          No          No          No          Yes         No          No          No          Yes         No          Yes         Yes         No          Yes    
 20220167  FIBJ0167      Yes         No          Yes         No          No          No          Yes         No          Yes         Yes         No          No          Yes         No          No          No          Yes         No          No          No     
 20220168  LSAE0168      Yes         Yes         No          No          No          No          No          No          No          No          No          Yes         Yes         Yes         No          No          Yes         Yes         No          No     
 20220169  KJNL0169      No          Yes         Yes         No          No          No          Yes         Yes         No          Yes         No          No          No          No          No          No          No          No          No          No     
 20220170  DGZR0170      No          Yes         Yes         No          Yes         Yes         Yes         No          No          No          No          No          Yes         No          No          No          Yes         No          No          No     
 20220171  SOLQ0171      No          Yes         No          No          Yes         No          No          No          No          No          Yes         No          No          Yes         No          No          No          No          Yes         No     
 20220172  DFEU0172      No          Yes         No          No          No          No          Yes         No          No          Yes         Yes         No          Yes         No          No          No          No          No          Yes         Yes    
 20220173  YBHG0173      No          No          No          Yes         No          Yes         No          No          Yes         No          Yes         No          Yes         No          No          No          No          No          No          Yes    
 20220174  KDQW0174      No          No          No          Yes         Yes         Yes         Yes         No          No          No          Yes         No          No          No          No          No          No          Yes         No          No     
 20220175  DMSB0175      No          Yes         No          No          No          No          No          No          No          Yes         No          No          Yes         No          No          No          Yes         No          Yes         Yes    
 20220176  JTYR0176      No          No          No          Yes         Yes         No          Yes         Yes         No          No          Yes         No          No          No          Yes         No          No          Yes         No          No     
 20220177  VQWJ0177      No          No          No          Yes         No          No          No          No          Yes         No          No          No          No          Yes         Yes         Yes         No          Yes         No          No     
 20220178  GNBH0178      Yes         No          Yes         No          No          Yes         No          Yes         No          No          No          No          Yes         No          No          No          Yes         No          No          No     
 20220179  GEWS0179      No          No          No          Yes         No          No          No          Yes         Yes         No          Yes         No          Yes         Yes         No          No          No          No          No          No     
 20220180  WXJZ0180      No          Yes         No          No          Yes         No          Yes         No          No          No          No          No          Yes         No          No          Yes         Yes         No          No          No     
 20220181  TDKJ0181      Yes         No          Yes         Yes         No          No          No          No          Yes         Yes         No          No          No          No          No          No          No          No          No          No     
 20220182  YCWA0182      No          No          No          No          No          No          No          No          No          No          No          Yes         Yes         Yes         No          No          No          No          Yes         Yes    
 20220183  JISP0183      Yes         Yes         Yes         Yes         No          No          No          No          No          No          No          No          No          No          No          Yes         No          No          Yes         No     
 20220184  AKHJ0184      No          Yes         Yes         No          No          Yes         Yes         Yes         No          No          No          No          No          No          No          Yes         No          No          No          No     
 20220185  EWAK0185      No          No          No          No          Yes         Yes         Yes         No          No          Yes         Yes         No          No          No          Yes         Yes         No          No          No          No     
 20220186  UIUL0186      No          Yes         No          No          No          Yes         No          No          No          Yes         Yes         No          No          No          No          No          No          No          No          Yes    
 20220187  VKGC0187      No          No          No          No          Yes         Yes         No          No          Yes         No          No          No          No          Yes         No          No          Yes         Yes         No          No     
 20220188  VLWT0188      No          Yes         No          No          Yes         Yes         No          No          Yes         No          No          No          No          No          No          Yes         No          No          Yes         No     
 20220189  JPNW0189      No          No          No          Yes         No          Yes         No          Yes         Yes         Yes         Yes         No          No          No          No          No          No          No          Yes         No     
 20220190  NYUG0190      No          No          Yes         No          Yes         No          No          Yes         No          No          No          No          No          Yes         Yes         No          No          Yes         No          No     
 20220191  SYTY0191      Yes         No          Yes         No          Yes         No          No          No          No          Yes         No          No          No          No          No          Yes         No          No          No          No     
 20220192  XEPG0192      No          Yes         No          No          No          No          No          No          No          Yes         Yes         Yes         No          Yes         No          No          No          No          No          No     
 20220193  XNJE0193      No          Yes         Yes         No          No          No          No          No          No          Yes         Yes         No          No          Yes         No          No          Yes         No          No          No     
 20220194  GYDS0194      No          No          No          No          No          Yes         Yes         No          No          Yes         No          No          No          Yes         No          Yes         No          Yes         No          No     
 20220195  QKFS0195      Yes         No          No          No          Yes         No          Yes         No          No          Yes         Yes         No          No          No          Yes         No          No          No          No          No     
 20220196  RDZL0196      No          No          No          Yes         No          No          No          No          No          Yes         Yes         Yes         Yes         No          No          Yes         No          Yes         No          No     
 20220197  YBVS0197      No          Yes         Yes         Yes         No          No          Yes         Yes         No          Yes         No          No          Yes         No          No          No          No          No          No          No     
 20220198  BNFV0198      No          Yes         Yes         No          No          Yes         Yes         No          Yes         No          No          No          No          No          No          Yes         No          No          No          No     
 20220199  JRAG0199      No          No          Yes         No          No          No          No          No          Yes         No          No          Yes         No          No          No          Yes         No          No          Yes         Yes    
 20220200  XWUU0200      No          Yes         No          Yes         No          Yes         Yes         No          No          No          No          Yes         Yes         No          No          No          No          Yes         No          No     
 20220201  LCRC0201      No          No          Yes         No          Yes         No          Yes         Yes         No          No          Yes         No          No          No          Yes         No          No          Yes         No          No     
 20220202  YQDH0202      Yes         No          No          No          Yes         No          Yes         Yes         No          No          No          Yes         No          No          Yes         Yes         No          No          No          No     
 20220203  YDMM0203      No          No          Yes         No          Yes         No          No          No          Yes         Yes         No          No          No          No          No          Yes         Yes         Yes         No          No     
 20220204  HIDY0204      No          No          No          No          Yes         No          Yes         No          No          No          No          Yes         No          No          Yes         Yes         Yes         Yes         No          No     
 20220205  MBKS0205      No          No          No          No          Yes         No          No          No          Yes         Yes         No          Yes         No          No          No          No          Yes         No          No          Yes    
 20220206  WERV0206      No          No          Yes         No          Yes         No          No          No          No          No          No          No          No          No          Yes         No          No          Yes         Yes         No     
 20220207  BZIL0207      No          No          No          No          No          Yes         No          No          No          Yes         Yes         No          No          Yes         No          Yes         No          No          No          No     
 20220208  VJOQ0208      Yes         No          No          Yes         No          Yes         No          No          No          No          No          Yes         No          No          No          No          No          Yes         Yes         No     
 20220209  GLRB0209      Yes         No          No          No          Yes         No          Yes         No          No          No          No          No          No          No          Yes         No          No          No          Yes         Yes    
 20220210  VUXS0210      No          Yes         No          No          No          Yes         No          Yes         Yes         No          No          No          No          Yes         No          No          No          No          Yes         No     
